station_code,date,rainfall_mm,temperature_c,humidity,wind_speed
DMM,2025-10-04,0.0,11.0,70.2,11.2
GTL,2025-10-04,0.0,11.3,51.9,3.6
SC,2025-10-04,0.0,8.0,41.3,12.1
NDLS,2025-10-05,0.0,12.0,46.7,8.8
CNB,2025-10-05,0.0,12.0,56.1,16.2
PRYJ,2025-10-05,0.0,12.7,65.3,10.7
DDU,2025-10-05,0.3,10.9,61.5,15.5
BSB,2025-10-05,1.5,12.1,37.7,15.8
GKP,2025-10-05,0.0,11.1,57.0,2.0
HWH,2025-10-05,0.0,12.5,64.8,11.3
BCT,2025-10-05,26.1,13.1,38.0,9.8
BRC,2025-10-05,0.0,11.2,34.3,9.6
RTM,2025-10-05,0.8,11.9,44.0,12.0
KOTA,2025-10-05,0.0,10.7,75.6,8.7
ST,2025-10-05,0.4,10.0,49.7,6.8
GZB,2025-10-05,1.3,10.0,40.7,9.2
ALJN,2025-10-05,0.0,10.8,54.0,10.2
TDL,2025-10-05,0.0,12.5,63.5,7.5
LKO,2025-10-05,2.3,12.3,52.2,2.0
AGC,2025-10-05,0.0,11.8,71.4,9.0
VGLJ,2025-10-05,12.5,9.5,55.3,13.9
BPL,2025-10-05,5.9,11.4,38.9,10.8
NGP,2025-10-05,0.0,10.4,48.5,5.7
MAS,2025-10-05,0.0,9.8,71.9,13.5
PPTA,2025-10-05,0.0,12.5,55.8,6.6
GHY,2025-10-05,0.0,11.7,44.6,9.2
ASR,2025-10-05,0.0,10.5,64.3,17.6
SBC,2025-10-05,0.0,10.7,41.0,12.3
DMM,2025-10-05,2.8,9.7,51.2,8.3
GTL,2025-10-05,22.7,10.5,55.5,6.7
SC,2025-10-05,0.0,11.0,52.6,6.4
NDLS,2025-10-06,0.0,13.8,49.2,13.0
CNB,2025-10-06,0.0,10.6,56.0,13.0
PRYJ,2025-10-06,14.7,12.2,49.4,6.0
DDU,2025-10-06,0.0,11.6,50.4,8.8
BSB,2025-10-06,8.7,12.4,54.3,5.2
GKP,2025-10-06,4.1,12.1,49.0,13.0
HWH,2025-10-06,0.0,12.7,47.8,19.7
BCT,2025-10-06,0.0,11.6,56.7,10.4
BRC,2025-10-06,13.5,10.7,66.7,11.0
RTM,2025-10-06,0.0,10.5,50.1,8.3
KOTA,2025-10-06,0.0,10.6,57.9,18.3
ST,2025-10-06,0.0,11.4,67.0,8.4
GZB,2025-10-06,0.0,11.7,36.3,8.6
ALJN,2025-10-06,0.0,12.9,58.3,9.1
TDL,2025-10-06,0.0,11.5,57.4,13.1
LKO,2025-10-06,0.0,10.4,40.2,14.6
AGC,2025-10-06,0.0,10.5,61.3,19.1
VGLJ,2025-10-06,0.0,13.5,50.4,6.6
BPL,2025-10-06,0.0,10.9,55.7,8.1
NGP,2025-10-06,0.0,13.0,65.4,8.0
MAS,2025-10-06,0.0,10.4,52.3,6.1
PPTA,2025-10-06,2.6,13.1,64.6,13.9
GHY,2025-10-06,0.0,12.5,38.7,11.1
ASR,2025-10-06,23.9,11.3,37.2,16.0
SBC,2025-10-06,0.0,11.8,57.8,5.5
DMM,2025-10-06,0.0,12.0,56.1,12.9
GTL,2025-10-06,0.0,12.7,47.1,11.9
SC,2025-10-06,0.0,12.2,70.9,8.0
NDLS,2025-10-07,0.0,13.8,45.1,9.5
CNB,2025-10-07,0.0,14.0,55.6,14.4
PRYJ,2025-10-07,0.0,12.4,53.4,8.3
DDU,2025-10-07,4.1,13.2,63.5,2.0
BSB,2025-10-07,0.0,13.7,67.7,6.7
GKP,2025-10-07,6.0,11.8,52.5,8.9
HWH,2025-10-07,0.0,12.0,52.7,12.8
BCT,2025-10-07,0.0,12.3,52.3,5.6
BRC,2025-10-07,0.0,10.4,80.7,10.2
RTM,2025-10-07,0.0,10.3,57.0,9.4
KOTA,2025-10-07,0.4,10.8,80.7,5.6
ST,2025-10-07,0.0,10.3,68.9,2.0
GZB,2025-10-07,0.0,11.8,43.2,10.8
ALJN,2025-10-07,0.0,10.8,53.5,12.1
TDL,2025-10-07,0.0,11.1,51.4,9.7
LKO,2025-10-07,0.0,10.6,54.1,10.1
AGC,2025-10-07,11.1,10.9,49.8,12.0
VGLJ,2025-10-07,1.0,12.6,63.1,6.2
BPL,2025-10-07,0.0,13.4,71.5,6.0
NGP,2025-10-07,22.7,10.8,58.3,5.0
MAS,2025-10-07,0.0,11.7,49.8,14.2
PPTA,2025-10-07,0.0,11.1,39.4,12.4
GHY,2025-10-07,0.0,12.5,34.2,16.8
ASR,2025-10-07,0.0,11.2,49.6,11.6
SBC,2025-10-07,0.0,13.5,56.1,10.6
DMM,2025-10-07,3.1,11.7,76.6,12.7
GTL,2025-10-07,18.0,11.1,55.2,11.4
SC,2025-10-07,0.2,10.7,38.7,12.2
NDLS,2025-10-08,0.0,14.2,50.3,12.1
CNB,2025-10-08,23.0,12.1,57.6,13.9
PRYJ,2025-10-08,0.0,14.4,36.6,4.9
DDU,2025-10-08,1.8,14.1,51.5,10.8
BSB,2025-10-08,4.9,14.4,45.8,4.6
GKP,2025-10-08,8.4,14.9,75.8,8.8
HWH,2025-10-08,0.0,15.8,61.1,3.9
BCT,2025-10-08,0.0,12.2,38.1,13.9
BRC,2025-10-08,0.8,15.1,54.7,17.1
RTM,2025-10-08,0.0,14.8,62.1,7.8
KOTA,2025-10-08,0.0,15.2,61.2,3.7
ST,2025-10-08,24.9,13.5,41.8,9.1
GZB,2025-10-08,0.0,14.2,63.2,12.5
ALJN,2025-10-08,0.0,14.7,50.5,12.5
TDL,2025-10-08,44.0,14.0,59.3,10.8
LKO,2025-10-08,0.0,12.7,44.2,14.2
AGC,2025-10-08,0.0,15.7,54.6,12.7
VGLJ,2025-10-08,0.0,15.5,64.4,7.9
BPL,2025-10-08,0.0,12.2,50.7,8.8
NGP,2025-10-08,0.0,12.3,67.6,6.4
MAS,2025-10-08,0.0,12.3,69.5,10.8
PPTA,2025-10-08,0.0,13.3,57.7,13.6
GHY,2025-10-08,20.4,13.0,62.1,10.2
ASR,2025-10-08,0.0,15.2,67.2,7.3
SBC,2025-10-08,0.0,13.6,64.2,11.3
DMM,2025-10-08,0.0,16.0,38.2,3.0
GTL,2025-10-08,1.2,15.0,41.6,6.3
SC,2025-10-08,0.4,13.2,35.7,5.2
NDLS,2025-10-09,29.9,13.7,64.8,9.1
CNB,2025-10-09,0.0,14.7,43.8,11.5
PRYJ,2025-10-09,28.6,14.9,66.7,16.5
DDU,2025-10-09,1.9,13.0,48.8,7.8
BSB,2025-10-09,0.0,14.1,69.2,7.7
GKP,2025-10-09,16.9,13.8,47.9,7.2
HWH,2025-10-09,0.0,13.1,46.6,10.7
BCT,2025-10-09,1.4,14.5,57.9,11.3
BRC,2025-10-09,0.0,13.6,53.2,6.8
RTM,2025-10-09,12.9,12.5,46.6,10.0
KOTA,2025-10-09,0.0,11.9,20.2,6.5
ST,2025-10-09,0.0,13.3,68.2,5.5
GZB,2025-10-09,21.1,13.2,60.9,14.4
ALJN,2025-10-09,0.0,14.4,63.2,12.0
TDL,2025-10-09,0.0,13.8,68.8,12.6
LKO,2025-10-09,0.0,11.6,53.3,10.6
AGC,2025-10-09,0.0,12.3,58.7,8.4
VGLJ,2025-10-09,0.0,14.3,56.9,10.2
BPL,2025-10-09,10.1,13.5,70.0,10.9
NGP,2025-10-09,0.0,11.4,60.4,10.2
MAS,2025-10-09,0.0,12.3,56.8,11.6
PPTA,2025-10-09,0.0,11.2,51.4,10.7
GHY,2025-10-09,0.0,13.3,50.2,10.5
ASR,2025-10-09,0.0,14.5,58.7,7.9
SBC,2025-10-09,3.9,11.1,70.7,9.7
DMM,2025-10-09,0.0,13.7,40.5,2.0
GTL,2025-10-09,0.0,11.6,44.8,12.8
SC,2025-10-09,0.0,11.3,42.2,13.5
NDLS,2025-10-10,5.7,15.2,53.9,12.5
CNB,2025-10-10,0.0,14.0,64.0,9.2
PRYJ,2025-10-10,0.3,12.4,42.5,15.8
DDU,2025-10-10,0.0,14.9,58.4,11.8
BSB,2025-10-10,0.0,14.5,61.4,15.3
GKP,2025-10-10,25.4,12.0,67.5,12.0
HWH,2025-10-10,1.3,13.4,48.2,17.2
BCT,2025-10-10,0.0,12.2,56.3,7.3
BRC,2025-10-10,0.0,12.5,50.5,2.4
RTM,2025-10-10,5.0,11.5,79.7,8.0
KOTA,2025-10-10,0.0,12.6,58.7,11.9
ST,2025-10-10,0.0,11.6,52.4,8.4
GZB,2025-10-10,6.9,15.4,70.0,13.5
ALJN,2025-10-10,4.0,13.7,46.2,10.2
TDL,2025-10-10,0.8,12.8,45.0,8.9
LKO,2025-10-10,0.0,13.7,49.3,12.3
AGC,2025-10-10,10.1,12.1,73.1,11.4
VGLJ,2025-10-10,0.0,14.9,49.2,14.4
BPL,2025-10-10,22.5,14.7,68.2,10.8
NGP,2025-10-10,0.0,13.2,72.4,10.8
MAS,2025-10-10,2.8,11.8,44.7,7.9
PPTA,2025-10-10,0.0,14.6,84.7,9.6
GHY,2025-10-10,56.1,14.3,55.4,10.5
ASR,2025-10-10,0.0,12.2,52.4,3.3
SBC,2025-10-10,0.0,14.9,50.2,16.3
DMM,2025-10-10,0.0,12.8,57.2,14.2
GTL,2025-10-10,0.0,13.2,65.8,9.8
SC,2025-10-10,0.0,15.0,61.5,3.7
NDLS,2025-10-11,9.8,15.7,68.8,13.1
CNB,2025-10-11,0.0,12.6,58.2,8.8
PRYJ,2025-10-11,20.5,14.0,62.7,2.0
DDU,2025-10-11,0.0,13.5,51.4,5.5
BSB,2025-10-11,10.7,15.9,66.1,7.2
GKP,2025-10-11,0.0,12.6,39.4,8.9
HWH,2025-10-11,7.3,12.3,65.0,8.0
BCT,2025-10-11,9.6,13.8,46.6,12.1
BRC,2025-10-11,13.3,12.7,51.8,18.3
RTM,2025-10-11,0.0,15.4,65.3,11.0
KOTA,2025-10-11,3.1,12.9,55.5,7.2
ST,2025-10-11,1.3,15.8,62.3,9.7
GZB,2025-10-11,0.0,13.3,64.2,11.4
ALJN,2025-10-11,0.0,13.9,75.9,9.4
TDL,2025-10-11,3.7,12.6,45.6,12.6
LKO,2025-10-11,0.0,14.7,57.8,7.4
AGC,2025-10-11,0.0,13.8,60.5,6.3
VGLJ,2025-10-11,0.0,15.4,54.7,18.0
BPL,2025-10-11,0.0,14.5,50.5,10.3
NGP,2025-10-11,0.0,15.8,44.2,12.7
MAS,2025-10-11,0.0,14.7,47.3,11.2
PPTA,2025-10-11,0.0,14.7,65.1,9.0
GHY,2025-10-11,0.0,15.2,60.6,11.4
ASR,2025-10-11,0.0,13.7,65.5,12.3
SBC,2025-10-11,0.0,15.1,67.9,9.0
DMM,2025-10-11,0.0,12.5,42.2,3.4
GTL,2025-10-11,0.0,14.8,39.5,8.8
SC,2025-10-11,0.8,13.5,71.4,14.0
NDLS,2025-10-12,0.0,13.0,64.8,8.7
CNB,2025-10-12,0.0,12.6,41.1,3.4
PRYJ,2025-10-12,0.0,12.9,68.8,12.3
DDU,2025-10-12,0.0,13.8,62.6,11.1
BSB,2025-10-12,0.0,11.5,47.5,8.9
GKP,2025-10-12,3.4,12.5,64.7,7.5
HWH,2025-10-12,0.0,12.7,70.1,13.1
BCT,2025-10-12,0.0,11.6,53.7,9.4
BRC,2025-10-12,7.4,13.3,49.0,11.3
RTM,2025-10-12,32.9,12.8,69.0,9.7
KOTA,2025-10-12,10.0,12.7,56.2,12.2
ST,2025-10-12,0.0,13.8,48.0,7.3
GZB,2025-10-12,0.0,13.0,42.6,7.2
ALJN,2025-10-12,17.3,13.7,73.2,6.7
TDL,2025-10-12,0.0,10.9,77.2,5.0
LKO,2025-10-12,0.0,11.2,51.5,11.8
AGC,2025-10-12,10.3,10.9,64.6,18.8
VGLJ,2025-10-12,0.0,11.5,54.1,20.3
BPL,2025-10-12,11.9,14.5,40.6,2.3
NGP,2025-10-12,0.0,13.4,58.0,7.9
MAS,2025-10-12,0.8,12.8,49.2,5.9
PPTA,2025-10-12,0.0,11.4,55.3,6.9
GHY,2025-10-12,0.0,10.8,57.3,3.8
ASR,2025-10-12,0.0,14.1,35.1,11.5
SBC,2025-10-12,0.0,11.9,71.7,11.7
DMM,2025-10-12,8.3,12.4,45.1,12.5
GTL,2025-10-12,6.0,12.7,47.6,14.9
SC,2025-10-12,0.0,13.2,44.1,8.7
NDLS,2025-10-13,0.0,12.8,67.1,10.6
CNB,2025-10-13,0.0,11.0,56.9,8.8
PRYJ,2025-10-13,0.0,9.4,62.1,13.8
DDU,2025-10-13,0.0,9.0,47.1,4.7
BSB,2025-10-13,0.0,9.2,36.6,12.0
GKP,2025-10-13,0.0,10.5,58.9,20.0
HWH,2025-10-13,0.0,12.6,55.8,9.6
BCT,2025-10-13,0.0,10.4,57.7,11.3
BRC,2025-10-13,0.0,12.0,53.3,7.0
RTM,2025-10-13,0.0,9.6,55.3,10.0
KOTA,2025-10-13,0.0,11.4,54.7,13.3
ST,2025-10-13,0.0,11.3,55.1,4.8
GZB,2025-10-13,4.6,10.5,60.1,10.2
ALJN,2025-10-13,0.0,10.6,26.1,11.2
TDL,2025-10-13,0.0,9.3,60.4,4.9
LKO,2025-10-13,0.6,11.5,52.9,16.0
AGC,2025-10-13,0.0,9.1,56.5,8.7
VGLJ,2025-10-13,1.5,12.8,51.3,7.2
BPL,2025-10-13,0.0,9.3,55.2,7.1
NGP,2025-10-13,0.0,12.9,39.7,13.6
MAS,2025-10-13,0.0,11.4,44.6,9.2
PPTA,2025-10-13,0.0,12.4,49.9,5.3
GHY,2025-10-13,0.0,10.5,63.8,13.0
ASR,2025-10-13,0.0,8.9,51.1,9.9
SBC,2025-10-13,0.0,9.9,56.1,5.5
DMM,2025-10-13,2.8,9.7,54.8,12.3
GTL,2025-10-13,0.0,9.3,67.0,9.4
SC,2025-10-13,0.0,9.3,50.6,6.5
NDLS,2025-10-14,0.0,10.9,41.3,3.5
CNB,2025-10-14,0.0,9.8,48.3,14.2
PRYJ,2025-10-14,0.0,10.7,61.8,8.0
DDU,2025-10-14,0.0,8.1,76.6,7.6
BSB,2025-10-14,0.0,10.6,68.0,16.2
GKP,2025-10-14,0.0,8.2,59.6,7.3
HWH,2025-10-14,0.0,10.0,51.3,10.7
BCT,2025-10-14,31.4,8.2,47.0,15.2
BRC,2025-10-14,0.0,9.1,61.8,14.6
RTM,2025-10-14,1.0,8.7,66.9,12.9
KOTA,2025-10-14,0.9,9.0,61.1,15.2
ST,2025-10-14,1.3,9.5,68.3,12.2
GZB,2025-10-14,0.0,10.5,48.6,13.7
ALJN,2025-10-14,0.0,11.9,70.3,12.0
TDL,2025-10-14,0.0,11.2,51.4,6.6
LKO,2025-10-14,4.7,11.7,37.6,2.2
AGC,2025-10-14,0.0,10.4,50.2,8.7
VGLJ,2025-10-14,0.0,8.7,41.6,13.7
BPL,2025-10-14,0.0,11.2,63.4,6.7
NGP,2025-10-14,0.0,9.8,63.9,12.9
MAS,2025-10-14,7.9,10.6,59.0,7.4
PPTA,2025-10-14,7.0,11.2,59.9,12.9
GHY,2025-10-14,0.0,10.1,36.0,10.3
ASR,2025-10-14,0.0,10.2,58.3,13.6
SBC,2025-10-14,6.2,11.0,52.9,6.6
DMM,2025-10-14,8.1,11.2,62.2,15.8
GTL,2025-10-14,0.0,8.7,57.8,15.8
SC,2025-10-14,0.0,8.0,40.5,5.6
NDLS,2025-10-15,0.0,9.9,46.8,2.0
CNB,2025-10-15,0.0,12.2,38.0,15.8
PRYJ,2025-10-15,0.0,11.0,66.7,7.7
DDU,2025-10-15,0.0,9.7,77.1,8.8
BSB,2025-10-15,0.0,9.6,73.6,17.5
GKP,2025-10-15,0.0,11.7,48.8,13.3
HWH,2025-10-15,0.0,12.6,66.2,7.4
BCT,2025-10-15,0.0,12.2,27.3,13.2
BRC,2025-10-15,0.0,9.9,46.6,9.5
RTM,2025-10-15,0.0,10.2,56.9,12.3
KOTA,2025-10-15,0.0,11.0,51.5,11.0
ST,2025-10-15,0.0,11.0,67.0,2.3
GZB,2025-10-15,4.5,11.7,56.4,2.9
ALJN,2025-10-15,0.0,10.5,50.3,3.6
TDL,2025-10-15,0.0,12.8,60.1,7.9
LKO,2025-10-15,0.0,11.2,54.7,17.1
AGC,2025-10-15,0.0,11.1,49.0,11.9
VGLJ,2025-10-15,13.9,11.8,58.5,10.5
BPL,2025-10-15,3.3,9.6,46.2,6.7
NGP,2025-10-15,3.2,13.0,52.0,16.3
MAS,2025-10-15,6.7,12.4,30.8,13.5
PPTA,2025-10-15,0.0,10.7,55.7,12.1
GHY,2025-10-15,5.4,13.1,63.8,6.3
ASR,2025-10-15,10.6,13.3,57.9,4.6
SBC,2025-10-15,0.0,11.2,38.8,14.7
DMM,2025-10-15,2.6,9.8,61.3,8.2
GTL,2025-10-15,0.0,11.6,52.0,10.6
SC,2025-10-15,0.0,12.2,54.2,6.7
NDLS,2025-10-16,29.1,11.2,59.4,13.6
CNB,2025-10-16,0.0,11.1,61.2,18.2
PRYJ,2025-10-16,0.0,9.5,53.2,15.5
DDU,2025-10-16,0.0,9.5,48.5,6.8
BSB,2025-10-16,0.0,9.9,56.2,16.5
GKP,2025-10-16,0.0,10.1,52.1,3.7
HWH,2025-10-16,0.0,13.2,63.8,9.7
BCT,2025-10-16,0.0,11.4,58.0,7.0
BRC,2025-10-16,0.0,12.5,56.1,4.2
RTM,2025-10-16,0.0,10.4,73.7,14.3
KOTA,2025-10-16,0.0,12.4,55.7,13.4
ST,2025-10-16,0.0,9.9,48.6,14.1
GZB,2025-10-16,0.0,12.7,51.7,8.4
ALJN,2025-10-16,0.0,10.0,45.4,11.7
TDL,2025-10-16,0.0,11.0,55.2,15.6
LKO,2025-10-16,0.0,13.1,44.4,11.7
AGC,2025-10-16,0.0,12.8,66.9,20.4
VGLJ,2025-10-16,0.0,12.1,56.9,8.6
BPL,2025-10-16,0.0,10.0,56.7,15.3
NGP,2025-10-16,0.0,12.1,68.2,9.5
MAS,2025-10-16,0.0,11.1,68.0,9.9
PPTA,2025-10-16,12.4,10.6,49.3,8.4
GHY,2025-10-16,0.0,10.6,62.6,15.0
ASR,2025-10-16,0.0,11.7,54.0,14.9
SBC,2025-10-16,0.0,13.2,58.7,6.8
DMM,2025-10-16,0.0,10.6,51.0,12.1
GTL,2025-10-16,10.3,12.6,56.3,17.8
SC,2025-10-16,0.3,10.5,65.3,4.7
NDLS,2025-10-17,0.0,12.1,62.2,12.7
CNB,2025-10-17,23.8,11.0,61.7,17.6
PRYJ,2025-10-17,0.0,8.8,66.1,9.5
DDU,2025-10-17,0.0,10.5,49.6,9.6
BSB,2025-10-17,0.0,11.3,62.1,8.3
GKP,2025-10-17,0.0,9.5,62.4,12.5
HWH,2025-10-17,0.0,8.4,45.6,14.3
BCT,2025-10-17,20.6,11.6,58.4,7.4
BRC,2025-10-17,2.8,10.5,54.8,8.8
RTM,2025-10-17,0.0,9.5,44.5,5.7
KOTA,2025-10-17,23.3,11.3,59.3,13.6
ST,2025-10-17,0.0,10.7,62.3,7.4
GZB,2025-10-17,0.0,8.5,47.7,10.1
ALJN,2025-10-17,0.0,11.7,57.7,12.6
TDL,2025-10-17,0.0,11.6,61.5,20.8
LKO,2025-10-17,0.0,10.1,69.7,8.6
AGC,2025-10-17,0.0,10.7,76.1,5.5
VGLJ,2025-10-17,0.0,10.9,44.9,13.1
BPL,2025-10-17,4.9,10.4,76.7,9.3
NGP,2025-10-17,0.0,12.1,55.4,16.8
MAS,2025-10-17,2.9,10.9,50.6,2.0
PPTA,2025-10-17,3.2,8.5,40.9,9.7
GHY,2025-10-17,2.3,10.8,53.0,10.0
ASR,2025-10-17,0.4,8.4,51.9,7.0
SBC,2025-10-17,0.0,11.5,36.2,10.5
DMM,2025-10-17,0.0,12.1,57.1,7.0
GTL,2025-10-17,0.0,8.8,65.8,10.1
SC,2025-10-17,0.0,10.3,47.9,3.9
NDLS,2025-10-18,0.0,6.1,57.7,12.0
CNB,2025-10-18,0.0,6.8,50.2,10.6
PRYJ,2025-10-18,9.3,5.4,47.9,11.4
DDU,2025-10-18,0.0,5.9,46.1,8.8
BSB,2025-10-18,0.0,6.0,60.1,9.3
GKP,2025-10-18,0.0,7.0,66.8,3.1
HWH,2025-10-18,0.0,4.4,57.1,13.0
BCT,2025-10-18,0.0,7.9,55.6,7.0
BRC,2025-10-18,5.5,4.9,53.7,2.5
RTM,2025-10-18,1.3,6.7,35.4,12.9
KOTA,2025-10-18,0.0,7.3,59.7,13.4
ST,2025-10-18,0.0,6.1,45.6,5.6
GZB,2025-10-18,0.0,7.5,60.3,12.0
ALJN,2025-10-18,0.0,7.8,36.8,7.2
TDL,2025-10-18,0.0,6.7,70.9,13.1
LKO,2025-10-18,0.0,7.1,52.5,5.1
AGC,2025-10-18,0.0,4.9,45.4,8.3
VGLJ,2025-10-18,0.0,4.5,40.9,14.9
BPL,2025-10-18,0.0,4.7,66.1,5.3
NGP,2025-10-18,0.0,6.8,73.9,8.2
MAS,2025-10-18,0.0,4.9,55.1,8.1
PPTA,2025-10-18,0.0,8.2,44.0,8.6
GHY,2025-10-18,0.0,4.5,37.0,8.6
ASR,2025-10-18,31.2,8.0,62.0,8.7
SBC,2025-10-18,0.0,6.8,53.9,11.8
DMM,2025-10-18,0.0,5.9,43.1,10.6
GTL,2025-10-18,0.0,6.6,61.4,12.0
SC,2025-10-18,0.0,6.1,47.1,7.5
NDLS,2025-10-19,0.0,3.3,35.2,13.0
CNB,2025-10-19,5.9,5.4,52.9,19.3
PRYJ,2025-10-19,0.0,4.6,57.9,13.6
DDU,2025-10-19,0.0,5.3,50.5,4.9
BSB,2025-10-19,0.0,3.2,39.8,11.0
GKP,2025-10-19,0.0,6.9,57.7,17.1
HWH,2025-10-19,15.6,6.5,57.7,8.6
BCT,2025-10-19,0.0,4.1,58.8,9.9
