route_segment,hour,day_of_week,congestion_score
CNB_LKO,18,0,0.0
CNB_LKO,18,1,9.844
CNB_LKO,18,2,112.0
CNB_LKO,18,4,0.0
CNB_LKO,18,5,33.7
CNB_LKO,18,6,11.6
CNB_LKO,19,0,18.263
CNB_LKO,19,1,28.3
CNB_LKO,19,3,35.4
CNB_LKO,19,4,45.0
CNB_LKO,19,5,34.867
CNB_LKO,19,6,25.486
CNB_LKO,20,0,65.333
CNB_LKO,20,1,62.167
CNB_LKO,20,2,52.98
CNB_LKO,20,3,36.58
CNB_LKO,20,4,50.8
CNB_LKO,20,5,55.22
CNB_LKO,20,6,65.433
CNB_LKO,21,0,91.5
CNB_LKO,21,1,59.267
CNB_LKO,21,2,79.1
CNB_LKO,21,3,63.9
CNB_LKO,21,4,74.529
CNB_LKO,21,5,82.6
CNB_LKO,21,6,72.238
CNB_LKO,22,0,102.04
CNB_LKO,22,1,92.86
CNB_LKO,22,2,113.875
CNB_LKO,22,3,123.6
CNB_LKO,22,4,108.3
CNB_LKO,22,5,111.525
CNB_LKO,22,6,62.2
CNB_LKO,23,0,190.0
CNB_LKO,23,1,117.825
CNB_LKO,23,2,128.55
CNB_LKO,23,3,130.45
CNB_LKO,23,4,154.25
CNB_LKO,23,5,130.233
CNB_NDLS,0,1,136.35
CNB_NDLS,0,2,94.6
CNB_NDLS,0,3,147.05
CNB_NDLS,0,4,122.35
CNB_NDLS,0,5,101.5
CNB_NDLS,0,6,172.85
CNB_NDLS,1,0,126.8
CNB_NDLS,1,1,155.6
CNB_NDLS,1,2,126.8
CNB_NDLS,1,3,132.35
CNB_NDLS,1,4,143.2
CNB_NDLS,1,5,165.6
CNB_NDLS,2,4,233.85
CNB_NDLS,4,1,205.9
CNB_NDLS,4,2,201.2
CNB_NDLS,6,3,257.6
CNB_NDLS,18,4,0.0
CNB_NDLS,18,5,0.0
CNB_NDLS,18,6,71.5
CNB_NDLS,19,0,31.472
CNB_NDLS,19,1,29.05
CNB_NDLS,19,2,78.9
CNB_NDLS,19,3,22.867
CNB_NDLS,19,4,16.0
CNB_NDLS,19,5,55.85
CNB_NDLS,19,6,25.425
CNB_NDLS,20,0,54.5
CNB_NDLS,20,1,49.35
CNB_NDLS,20,2,56.8
CNB_NDLS,20,3,88.975
CNB_NDLS,20,4,52.2
CNB_NDLS,20,5,58.271
CNB_NDLS,20,6,58.2
CNB_NDLS,21,0,91.0
CNB_NDLS,21,1,83.65
CNB_NDLS,21,2,103.133
CNB_NDLS,21,3,55.333
CNB_NDLS,21,4,99.967
CNB_NDLS,21,5,66.85
CNB_NDLS,21,6,68.58
CNB_NDLS,22,0,76.7
CNB_NDLS,22,1,77.85
CNB_NDLS,22,2,85.533
CNB_NDLS,22,3,106.175
CNB_NDLS,22,4,89.96
CNB_NDLS,22,5,118.5
CNB_NDLS,22,6,97.275
CNB_NDLS,23,0,147.05
CNB_NDLS,23,1,144.65
CNB_NDLS,23,2,120.733
CNB_NDLS,23,3,113.4
CNB_NDLS,23,4,136.8
CNB_NDLS,23,5,114.9
CNB_NDLS,23,6,111.2
CNB_PRYJ,8,0,7.325
CNB_PRYJ,8,1,11.263
CNB_PRYJ,8,2,24.0
CNB_PRYJ,8,3,6.422
CNB_PRYJ,8,4,2.469
CNB_PRYJ,8,5,43.6
CNB_PRYJ,8,6,22.067
CNB_PRYJ,9,0,20.685
CNB_PRYJ,9,1,14.688
CNB_PRYJ,9,2,20.506
CNB_PRYJ,9,3,23.719
CNB_PRYJ,9,4,13.336
CNB_PRYJ,9,5,24.209
CNB_PRYJ,9,6,13.902
CNB_PRYJ,10,0,40.661
CNB_PRYJ,10,1,37.184
CNB_PRYJ,10,2,46.677
CNB_PRYJ,10,3,46.737
CNB_PRYJ,10,4,30.789
CNB_PRYJ,10,5,36.976
CNB_PRYJ,10,6,36.564
CNB_PRYJ,11,0,79.38
CNB_PRYJ,11,1,106.625
CNB_PRYJ,11,2,86.275
CNB_PRYJ,11,3,90.067
CNB_PRYJ,11,4,82.333
CNB_PRYJ,11,5,67.56
CNB_PRYJ,11,6,75.762
CNB_PRYJ,12,0,108.0
CNB_PRYJ,12,5,88.45
DDU_GKP,14,1,0.0
DDU_GKP,14,2,33.7
DDU_GKP,15,0,31.6
DDU_GKP,15,1,19.956
DDU_GKP,15,2,31.35
DDU_GKP,15,3,31.82
DDU_GKP,15,4,5.311
DDU_GKP,15,5,36.133
DDU_GKP,15,6,12.956
DDU_GKP,16,0,41.15
DDU_GKP,16,1,45.95
DDU_GKP,16,2,44.629
DDU_GKP,16,3,35.925
DDU_GKP,16,4,32.069
DDU_GKP,16,5,22.608
DDU_GKP,16,6,18.15
DDU_GKP,17,0,52.45
DDU_GKP,17,1,87.5
DDU_GKP,17,2,59.233
DDU_GKP,17,3,66.14
DDU_GKP,17,4,69.75
DDU_GKP,17,5,61.84
DDU_GKP,17,6,64.025
DDU_GKP,18,0,125.367
DDU_GKP,18,1,109.4
DDU_GKP,18,2,80.3
DDU_GKP,18,3,98.1
DDU_GKP,18,4,118.9
DDU_GKP,18,5,94.7
DDU_GKP,18,6,115.933
DDU_GKP,19,0,94.6
DDU_GKP,19,1,89.975
DDU_GKP,19,2,86.2
DDU_GKP,19,3,121.075
DDU_GKP,19,4,111.367
DDU_GKP,19,5,117.8
DDU_GKP,19,6,98.9
DDU_GKP,20,2,147.7
DDU_GKP,20,3,117.0
DDU_GKP,20,5,109.8
DDU_GKP,20,6,126.7
DDU_GKP,21,0,184.3
DDU_GKP,23,0,167.1
DDU_HWH,17,1,0.0
DDU_HWH,17,2,24.694
DDU_HWH,17,3,0.0
DDU_HWH,17,4,17.022
DDU_HWH,17,5,12.422
DDU_HWH,17,6,0.0
DDU_HWH,18,0,19.812
DDU_HWH,18,1,36.378
DDU_HWH,18,2,34.814
DDU_HWH,18,3,29.55
DDU_HWH,18,4,33.786
DDU_HWH,18,5,49.05
DDU_HWH,18,6,33.289
DDU_HWH,19,0,53.629
DDU_HWH,19,1,61.767
DDU_HWH,19,2,60.0
DDU_HWH,19,3,58.575
DDU_HWH,19,4,56.25
DDU_HWH,19,5,53.46
DDU_HWH,19,6,50.95
DDU_HWH,20,0,93.28
DDU_HWH,20,1,79.2
DDU_HWH,20,2,79.833
DDU_HWH,20,3,89.24
DDU_HWH,20,4,76.1
DDU_HWH,20,5,88.4
DDU_HWH,20,6,105.533
DDU_HWH,21,0,62.65
DDU_HWH,21,1,91.933
DDU_HWH,21,2,96.233
DDU_HWH,21,3,119.75
DDU_HWH,21,4,124.3
DDU_HWH,21,5,102.8
DDU_HWH,21,6,96.98
DDU_HWH,22,0,142.4
DDU_HWH,22,1,142.9
DDU_HWH,22,2,113.1
DDU_HWH,22,3,104.8
DDU_HWH,22,5,124.075
DDU_HWH,23,0,146.7
DDU_HWH,23,2,133.2
DDU_HWH,23,4,160.9
DDU_HWH,23,6,188.2
DDU_PPTA,14,4,0.0
DDU_PPTA,15,0,10.575
DDU_PPTA,15,1,12.075
DDU_PPTA,15,2,35.125
DDU_PPTA,15,3,9.428
DDU_PPTA,15,4,5.788
DDU_PPTA,15,5,19.3
DDU_PPTA,15,6,29.729
DDU_PPTA,16,0,51.212
DDU_PPTA,16,1,20.772
DDU_PPTA,16,2,60.633
DDU_PPTA,16,3,51.0
DDU_PPTA,16,4,42.35
DDU_PPTA,16,5,35.778
DDU_PPTA,16,6,39.2
DDU_PPTA,17,0,95.825
DDU_PPTA,17,1,76.46
DDU_PPTA,17,2,72.462
DDU_PPTA,17,3,69.05
DDU_PPTA,17,4,61.0
DDU_PPTA,17,5,89.538
DDU_PPTA,17,6,41.233
DDU_PPTA,18,0,73.333
DDU_PPTA,18,1,85.233
DDU_PPTA,18,2,91.6
DDU_PPTA,18,3,54.65
DDU_PPTA,18,4,94.1
DDU_PPTA,18,5,80.825
DDU_PPTA,18,6,73.9
DDU_PPTA,19,0,120.55
DDU_PPTA,19,1,100.0
DDU_PPTA,19,2,75.05
DDU_PPTA,19,3,160.0
DDU_PPTA,19,4,148.2
DDU_PPTA,19,5,96.9
DDU_PPTA,19,6,107.05
DDU_PPTA,20,0,192.1
DDU_PPTA,20,1,146.45
DDU_PPTA,20,3,154.2
DDU_PPTA,20,4,113.2
DDU_PPTA,20,6,119.8
DDU_PPTA,21,0,113.6
DDU_PPTA,21,1,160.2
DDU_PPTA,21,2,154.7
DDU_PPTA,21,3,183.1
DDU_PPTA,21,4,183.55
DDU_PPTA,22,2,219.6
DDU_PRYJ,11,5,21.3
DDU_PRYJ,11,6,17.2
DDU_PRYJ,12,0,14.911
DDU_PRYJ,12,1,25.6
DDU_PRYJ,12,2,39.35
DDU_PRYJ,12,3,55.14
DDU_PRYJ,12,4,20.849
DDU_PRYJ,12,5,34.824
DDU_PRYJ,12,6,23.588
DDU_PRYJ,13,0,53.811
DDU_PRYJ,13,1,41.214
DDU_PRYJ,13,2,63.182
DDU_PRYJ,13,3,56.744
DDU_PRYJ,13,4,44.4
DDU_PRYJ,13,5,50.912
DDU_PRYJ,13,6,65.95
DDU_PRYJ,14,0,80.25
DDU_PRYJ,14,1,75.533
DDU_PRYJ,14,2,90.4
DDU_PRYJ,14,3,110.54
DDU_PRYJ,14,4,69.15
DDU_PRYJ,14,5,83.475
DDU_PRYJ,14,6,76.95
DDU_PRYJ,15,0,94.35
DDU_PRYJ,15,1,101.2
DDU_PRYJ,15,2,106.95
DDU_PRYJ,15,3,103.433
DDU_PRYJ,15,4,88.6
DDU_PRYJ,15,6,92.25
DDU_PRYJ,16,0,144.4
DDU_PRYJ,16,1,153.5
DDU_PRYJ,18,2,187.3
DMM_GTL,8,0,7.875
DMM_GTL,8,1,16.375
DMM_GTL,8,3,5.725
DMM_GTL,8,4,0.0
DMM_GTL,8,5,0.0
DMM_GTL,8,6,19.267
DMM_GTL,9,0,21.907
DMM_GTL,9,1,5.6
DMM_GTL,9,2,35.033
DMM_GTL,9,3,22.337
DMM_GTL,9,4,31.179
DMM_GTL,9,5,32.109
DMM_GTL,9,6,34.292
DMM_GTL,10,0,42.12
DMM_GTL,10,1,55.3
DMM_GTL,10,2,52.843
DMM_GTL,10,3,51.267
DMM_GTL,10,4,40.075
DMM_GTL,10,5,37.347
DMM_GTL,10,6,38.514
DMM_GTL,11,3,75.1
DMM_GTL,11,4,97.7
DMM_GTL,11,5,122.4
DMM_GTL,12,2,150.2
GKP_DDU,8,0,36.2
GKP_DDU,8,2,7.95
GKP_DDU,8,3,22.4
GKP_DDU,8,5,3.111
GKP_DDU,8,6,17.125
GKP_DDU,9,0,29.257
GKP_DDU,9,1,24.219
GKP_DDU,9,2,41.01
GKP_DDU,9,3,37.686
GKP_DDU,9,4,18.628
GKP_DDU,9,5,22.625
GKP_DDU,9,6,20.456
GKP_DDU,10,0,57.673
GKP_DDU,10,1,33.072
GKP_DDU,10,2,49.2
GKP_DDU,10,3,48.059
GKP_DDU,10,4,51.25
GKP_DDU,10,5,50.217
GKP_DDU,10,6,53.383
GKP_DDU,11,1,88.9
GKP_DDU,11,2,73.3
GKP_DDU,11,6,74.4
GKP_DDU,12,2,182.5
GKP_HWH,0,0,153.6
GKP_HWH,0,1,177.65
GKP_HWH,0,2,132.4
GKP_HWH,0,3,107.4
GKP_HWH,0,4,110.4
GKP_HWH,0,5,140.25
GKP_HWH,0,6,115.6
GKP_HWH,1,0,135.7
GKP_HWH,1,4,171.8
GKP_HWH,1,6,161.4
GKP_HWH,2,3,154.7
GKP_HWH,4,1,190.5
GKP_HWH,5,1,176.4
GKP_HWH,18,0,33.5
GKP_HWH,18,1,23.225
GKP_HWH,18,2,45.3
GKP_HWH,18,3,23.3
GKP_HWH,18,4,19.244
GKP_HWH,18,6,9.675
GKP_HWH,19,0,37.96
GKP_HWH,19,1,45.175
GKP_HWH,19,2,27.113
GKP_HWH,19,3,42.72
GKP_HWH,19,4,29.883
GKP_HWH,19,5,36.367
GKP_HWH,19,6,11.762
GKP_HWH,20,0,58.467
GKP_HWH,20,1,88.825
GKP_HWH,20,2,54.94
GKP_HWH,20,3,47.725
GKP_HWH,20,4,38.95
GKP_HWH,20,5,30.625
GKP_HWH,20,6,35.75
GKP_HWH,21,0,72.367
GKP_HWH,21,1,73.3
GKP_HWH,21,2,84.0
GKP_HWH,21,3,64.967
GKP_HWH,21,4,62.267
GKP_HWH,21,5,66.3
GKP_HWH,21,6,70.375
GKP_HWH,22,0,116.6
GKP_HWH,22,1,102.2
GKP_HWH,22,2,77.75
GKP_HWH,22,3,82.95
GKP_HWH,22,4,101.867
GKP_HWH,22,5,119.533
GKP_HWH,22,6,64.1
GKP_HWH,23,0,154.9
GKP_HWH,23,1,97.8
GKP_HWH,23,2,96.1
GKP_HWH,23,3,115.767
GKP_HWH,23,4,135.2
GKP_HWH,23,5,152.1
GKP_HWH,23,6,137.825
GTL_SC,11,4,16.775
GTL_SC,11,5,20.9
GTL_SC,12,0,31.91
GTL_SC,12,1,20.941
GTL_SC,12,2,14.604
GTL_SC,12,3,27.714
GTL_SC,12,4,24.35
GTL_SC,12,5,14.483
GTL_SC,12,6,15.859
GTL_SC,13,0,26.655
GTL_SC,13,1,37.52
GTL_SC,13,2,61.308
GTL_SC,13,3,53.54
GTL_SC,13,4,58.922
GTL_SC,13,5,50.3
GTL_SC,13,6,50.116
GTL_SC,14,0,72.633
GTL_SC,14,1,68.633
GTL_SC,14,2,59.767
GTL_SC,14,3,77.2
GTL_SC,14,4,79.9
GTL_SC,14,5,72.567
GTL_SC,14,6,109.325
GTL_SC,15,1,86.6
GTL_SC,15,2,122.2
GTL_SC,15,3,85.1
GTL_SC,15,5,122.6
GTL_SC,15,6,103.9
GTL_SC,16,4,107.2
GTL_SC,16,5,137.5
GTL_SC,18,2,143.7
GZB_ALJN,8,0,18.3
GZB_ALJN,8,1,3.456
GZB_ALJN,8,2,7.5
GZB_ALJN,8,4,28.733
GZB_ALJN,8,5,22.1
GZB_ALJN,8,6,0.0
GZB_ALJN,9,0,34.531
GZB_ALJN,9,1,35.271
GZB_ALJN,9,2,42.893
GZB_ALJN,9,3,39.51
GZB_ALJN,9,4,33.397
GZB_ALJN,9,5,42.117
GZB_ALJN,9,6,16.875
GZB_ALJN,10,0,38.784
GZB_ALJN,10,1,61.986
GZB_ALJN,10,2,58.986
GZB_ALJN,10,3,37.95
GZB_ALJN,10,4,45.817
GZB_ALJN,10,5,44.517
GZB_ALJN,10,6,12.504
GZB_ALJN,11,3,114.1
GZB_ALJN,11,6,94.9
GZB_ALJN,12,1,176.5
HWH_GKP,5,0,27.825
HWH_GKP,5,1,27.731
HWH_GKP,5,2,9.968
HWH_GKP,5,3,36.794
HWH_GKP,5,4,22.403
HWH_GKP,5,5,9.542
HWH_GKP,5,6,10.625
HWH_GKP,6,0,22.657
HWH_GKP,6,1,14.297
HWH_GKP,6,2,23.462
HWH_GKP,6,3,14.943
HWH_GKP,6,4,11.681
HWH_GKP,6,5,14.38
HWH_GKP,6,6,15.36
KOTA_NDLS,0,0,142.4
KOTA_NDLS,0,2,156.95
KOTA_NDLS,0,4,130.8
KOTA_NDLS,0,5,151.633
KOTA_NDLS,0,6,103.4
KOTA_NDLS,1,0,149.7
KOTA_NDLS,1,1,145.1
KOTA_NDLS,1,4,127.1
KOTA_NDLS,2,0,139.2
KOTA_NDLS,2,3,166.6
KOTA_NDLS,2,4,141.0
KOTA_NDLS,4,4,195.1
KOTA_NDLS,5,0,175.3
KOTA_NDLS,5,3,219.5
KOTA_NDLS,14,2,0.0
KOTA_NDLS,15,0,26.1
KOTA_NDLS,15,1,14.711
KOTA_NDLS,15,2,23.6
KOTA_NDLS,15,3,19.3
KOTA_NDLS,15,4,24.143
KOTA_NDLS,15,5,5.778
KOTA_NDLS,15,6,19.2
KOTA_NDLS,16,0,30.48
KOTA_NDLS,16,1,35.119
KOTA_NDLS,16,2,48.303
KOTA_NDLS,16,3,36.914
KOTA_NDLS,16,4,29.847
KOTA_NDLS,16,5,32.535
KOTA_NDLS,16,6,37.3
KOTA_NDLS,17,0,47.225
KOTA_NDLS,17,1,52.36
KOTA_NDLS,17,2,71.15
KOTA_NDLS,17,3,79.15
KOTA_NDLS,17,4,76.867
KOTA_NDLS,17,5,67.275
KOTA_NDLS,17,6,62.767
KOTA_NDLS,18,0,44.925
KOTA_NDLS,18,1,78.3
KOTA_NDLS,18,2,31.734
KOTA_NDLS,18,3,75.96
KOTA_NDLS,18,4,82.1
KOTA_NDLS,18,5,74.4
KOTA_NDLS,18,6,94.7
KOTA_NDLS,19,0,89.25
KOTA_NDLS,19,1,63.786
KOTA_NDLS,19,2,55.344
KOTA_NDLS,19,3,51.791
KOTA_NDLS,19,4,54.384
KOTA_NDLS,19,5,20.496
KOTA_NDLS,19,6,16.133
KOTA_NDLS,20,0,63.025
KOTA_NDLS,20,1,66.1
KOTA_NDLS,20,2,78.578
KOTA_NDLS,20,3,68.3
KOTA_NDLS,20,4,73.8
KOTA_NDLS,20,5,83.433
KOTA_NDLS,21,0,75.225
KOTA_NDLS,21,1,100.55
KOTA_NDLS,21,2,47.2
KOTA_NDLS,21,3,86.7
KOTA_NDLS,21,4,64.0
KOTA_NDLS,21,5,84.157
KOTA_NDLS,21,6,94.433
KOTA_NDLS,22,0,124.989
KOTA_NDLS,22,1,92.725
KOTA_NDLS,22,2,61.2
KOTA_NDLS,22,3,80.35
KOTA_NDLS,22,4,89.15
KOTA_NDLS,22,5,106.24
KOTA_NDLS,22,6,80.25
KOTA_NDLS,23,0,85.6
KOTA_NDLS,23,1,106.05
KOTA_NDLS,23,2,128.8
KOTA_NDLS,23,3,123.15
KOTA_NDLS,23,4,132.675
KOTA_NDLS,23,6,131.967
KOTA_RTM,8,0,0.0
KOTA_RTM,8,1,5.05
KOTA_RTM,8,2,10.644
KOTA_RTM,8,3,9.125
KOTA_RTM,8,4,8.444
KOTA_RTM,8,5,42.8
KOTA_RTM,8,6,6.275
KOTA_RTM,9,0,15.667
KOTA_RTM,9,1,37.314
KOTA_RTM,9,2,12.45
KOTA_RTM,9,3,28.646
KOTA_RTM,9,4,28.391
KOTA_RTM,9,5,26.272
KOTA_RTM,9,6,27.244
KOTA_RTM,10,0,81.344
KOTA_RTM,10,1,48.508
KOTA_RTM,10,2,24.822
KOTA_RTM,10,3,76.571
KOTA_RTM,10,4,38.675
KOTA_RTM,10,5,27.311
KOTA_RTM,10,6,62.1
KOTA_RTM,11,0,117.3
NDLS_AGC,5,0,32.482
NDLS_AGC,5,1,10.735
NDLS_AGC,5,2,17.25
NDLS_AGC,5,3,14.849
NDLS_AGC,5,4,17.639
NDLS_AGC,5,5,24.581
NDLS_AGC,5,6,13.511
NDLS_AGC,6,0,21.112
NDLS_AGC,6,1,17.663
NDLS_AGC,6,2,11.165
NDLS_AGC,6,3,27.642
NDLS_AGC,6,4,9.045
NDLS_AGC,6,5,30.188
NDLS_AGC,6,6,15.025
NDLS_ASR,0,0,235.7
NDLS_ASR,0,1,151.2
NDLS_ASR,0,2,116.35
NDLS_ASR,0,4,147.4
NDLS_ASR,0,5,123.7
NDLS_ASR,0,6,113.5
NDLS_ASR,1,2,171.9
NDLS_ASR,1,3,115.0
NDLS_ASR,1,4,139.5
NDLS_ASR,1,5,163.1
NDLS_ASR,2,2,122.4
NDLS_ASR,2,6,164.5
NDLS_ASR,3,6,225.6
NDLS_ASR,4,1,183.6
NDLS_ASR,5,1,256.9
NDLS_ASR,6,0,248.0
NDLS_ASR,6,5,232.5
NDLS_ASR,18,0,0.0
NDLS_ASR,18,1,28.1
NDLS_ASR,18,2,23.8
NDLS_ASR,18,3,0.0
NDLS_ASR,18,4,35.133
NDLS_ASR,18,5,8.125
NDLS_ASR,18,6,8.7
NDLS_ASR,19,0,29.3
NDLS_ASR,19,1,14.111
NDLS_ASR,19,2,42.35
NDLS_ASR,19,3,16.575
NDLS_ASR,19,4,48.88
NDLS_ASR,19,5,42.7
NDLS_ASR,19,6,31.58
NDLS_ASR,20,0,45.894
NDLS_ASR,20,1,74.475
NDLS_ASR,20,2,53.243
NDLS_ASR,20,3,57.667
NDLS_ASR,20,4,61.767
NDLS_ASR,20,5,57.98
NDLS_ASR,20,6,62.42
NDLS_ASR,21,0,73.36
NDLS_ASR,21,1,61.25
NDLS_ASR,21,2,105.775
NDLS_ASR,21,3,67.7
